,收盘价(元)
1170,3077.8877931116604
1171,3081.1729567079738
1172,3035.7989293657497
1173,3036.3516660962464
1174,3079.6167076609436
1175,3085.6099140635947
1176,3125.8041646321053
1177,3118.2966045741928
1178,3176.2673052373175
1179,3163.477254085648
1180,3146.5816428345915
1181,3143.2641868351852
1182,3116.362449678719
1183,3151.0693453950735
1184,3144.409202014252
1185,3151.3839844945996
1186,3166.2443270282524
1187,3180.0265928627196
1188,3214.6380235740116
1189,3203.65352258713
1190,3165.528621931125
1191,3172.5011448847263
1192,3208.8171060858226
1193,3193.23390328701
1194,3249.8946433185333
1195,3247.4864585409186
1196,3240.6658887610565
1197,3242.9682523693514
1198,3216.6281017564747
1199,3210.577654009565
1200,3174.601186702212
1201,3175.83620636337
1202,3151.27816332528
1203,3171.923741653907
1204,3170.1467180143013
1205,3169.911915526504
1206,3205.5841940455352
1207,3196.190964770263
1208,3220.3615931181816
1209,3160.307985382069
1210,3184.3505738809886
1211,3166.2685227938355
1212,3197.7600178021926
1213,3198.440511940845
1214,3181.259447144078
1215,3214.603000909432
1216,3269.7887407098715
1217,3269.7887407098715
1218,3293.7951370662195
1219,3314.5174242745857
1220,3338.159407075702
1221,3332.4688056461036
1222,3296.4284543834956
1223,3368.1547311225404
1224,3359.1124397524427
1225,3328.5450125601087
1226,3328.9867146460097
1227,3356.8459629249364
1228,3328.9900750169086
1229,3344.588356666644
1230,3380.219582772341
1231,3366.6712207144205
1232,3382.9956225091732
1233,3331.834815669891
1234,3335.486605400367
1235,3271.8586358398065
1236,3251.223438243897
1237,3271.959166935858
1238,3298.469973048064
1239,3283.183179111906
1240,3268.762707462149
1241,3263.604258101807
1242,3297.314192146199
1243,3297.314192146199
1244,3363.6276581166007
1245,3411.7920408942805
1246,3430.7119558336994
1247,3430.7119558336994
1248,3450.1376065933655
1249,3399.9905116418436
1250,3394.30812445222
1251,3326.841771232672
1252,3346.4121046282517
1253,3275.5032381103047
1254,3315.0057048348876
1255,3275.046601042632
1256,3338.812719184582
1257,3270.2864489774165
1258,3268.881720598143
1259,3193.6723260790077
1260,3135.685299133654
1261,3134.2339922799797
1262,3208.0633011397654
1263,3223.2282816308466
1264,3192.301574783265
1265,3217.3062813274214
1266,3216.2024928308497
1267,3232.5536842491556
1268,3178.0366136312064
1269,3214.2313552678806
1270,3184.426358894997
1271,3142.936792845677
1272,3139.6986087666437
1273,3190.7904346588675
1274,3206.6300096078535
1275,3226.587625749504
1276,3212.8053445395826
1277,3235.599860468785
1278,3252.4585612364244
1279,3251.1284144223737
1280,3248.009056792062
1281,3250.7432785799338
1282,3220.987567646897
1283,3185.769480474462
1284,3170.3885961531423
1285,3189.291802581704
1286,3172.738522191298
1287,3198.5296488693757
1288,3246.0702161271747
1289,3241.7709949368914
1290,3241.7589536078376
1291,3234.4632150123157
1292,3242.9128676369814
1293,3212.109281045381
1294,3213.4583766175547
1295,3226.9532527720044
1296,3243.5990367057593
